ShortName,IsoLine,CellLine,Replicate,LongName
OVCAR3_R1,OVCAR3,OVCAR3,1,OVCAR3_rep1
OVCAR3_R2,OVCAR3,OVCAR3,2,OVCAR3_rep2
OVCAR3_R3,OVCAR3,OVCAR3,3,OVCAR3_rep3
OVCAR3A_R1,OVCAR3,OVCAR3A,1,OVCAR3ResA_rep1
OVCAR3A_R2,OVCAR3,OVCAR3A,2,OVCAR3ResA_rep2
OVCAR3A_R3,OVCAR3,OVCAR3A,3,OVCAR3ResA_rep3
OVCAR3B_R1,OVCAR3,OVCAR3B,1,OVCAR3ResB_rep1
OVCAR3B_R2,OVCAR3,OVCAR3B,2,OVCAR3ResB_rep2
OVCAR3B_R3,OVCAR3,OVCAR3B,3,OVCAR3ResB_rep3
OVCAR4_R1,OVCAR4,OVCAR4,1,OVCAR4_rep1
OVCAR4_R2,OVCAR4,OVCAR4,2,OVCAR4_rep2
OVCAR4_R3,OVCAR4,OVCAR4,3,OVCAR4_rep3
OVCAR4A_R1,OVCAR4,OVCAR4A,1,OVCAR4ResA_rep1
OVCAR4A_R2,OVCAR4,OVCAR4A,2,OVCAR4ResA_rep2
OVCAR4A_R3,OVCAR4,OVCAR4A,3,OVCAR4ResA_rep3
OVCAR4B_R1,OVCAR4,OVCAR4B,1,OVCAR4ResB_rep1
OVCAR4B_R2,OVCAR4,OVCAR4B,2,OVCAR4ResB_rep2
OVCAR4B_R3,OVCAR4,OVCAR4B,3,OVCAR4ResB_rep3
PEA1_R1,PEA,PEA1,1,PEA1_rep1
PEA1_R2,PEA,PEA1,2,PEA1_rep2
PEA1_R3,PEA,PEA1,3,PEA1_rep3
PEA2_R1,PEA,PEA2,1,PEA2_rep1
PEA2_R2,PEA,PEA2,2,PEA2_rep2
PEA2_R3,PEA,PEA2,3,PEA2_rep3
PEO1_R1,PEO,PEO1,1,PEO1_rep1
PEO1_R2,PEO,PEO1,2,PEO1_rep2
PEO1_R3,PEO,PEO1,3,PEO1_rep3
PEO4_R1,PEO,PEO4,1,PEO4_rep1
PEO4_R2,PEO,PEO4,2,PEO4_rep2
PEO4_R3,PEO,PEO4,3,PEO4_rep3
PEO6_R1,PEO,PEO6,1,PEO6_rep1
PEO6_R2,PEO,PEO6,2,PEO6_rep2
PEO6_R3,PEO,PEO6,3,PEO6_rep3
