efflux,influx
ABCA8,AQP2
ABCB1,ATP1A1
ABCB5,ATP1B1
ABCC1,CLDN3
ABCC2,CLDN4
ABCC3,EZH2
ABCC4,FOLR1
ABCC5,IGF2BP3
ABCD2,IL1A
ABCF2,LIN28B
ABCG2,LRRC8A
ANXA4,LRRC8D
APC,RAB5C
ARID1A,SLC22A1
ATP11B,SLC22A2
ATP7A,SLC22A3
ATP7B,SLC31A1
CHMP2B,SLC31A2
CLN3,SLC40A1
EHD1,SLCO1B3
EIF2AK3,TFRC
GNPTG,
HOXB4,
IRF1,
KAT5,
LDLR,
LRRFIP1,
MAPK9,
MGAT1,
MGAT5,
MVP,
NFE2L2,
NOS1,
NOS3,
NR1I2,
PDZK1,
PER2,
PGRMC1,
PTCH1,
PTGER3,
PTGS2,
RAB7A,
RAB8A,
SLC27A2,
SLC7A11,
SMARCE1,
TMEM205,
TNFAIP8L2,
UGCG,
YY1,
